% Model:              galvanized_nail.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 15 2024, 10:44
% Dimension:          2
% Nodes:              980
% Expressions:        0
% Description:        
% Length unit:        mm
% R                       Z
1                         -17.58575164635354
1.4009695637835184        -17.310785747327014
20.631691617870462        -42.85454992870573
19.40581979209188         -45
1                         -18.0340152043631
1.4067740928856496        -17.77430400369207
1                         -18.48227876237266
1.3994004476817794        -18.218812936351576
18.25234195729247         -42.88261896456434
16.952949774966914        -45
1                         -18.93054232038222
1                         -19.378805878391784
1.4042557909085636        -19.09702400639189
1.4086943556149916        -18.669082188362356
1                         -19.82706943640134
1.4011750507932454        -19.57965654834933
15.973060856125237        -43.0074888650135
14.96871091645894         -45
13.024484950050608        -45
13.890302159764413        -43.152198442341614
1.2318618950458697        -43.73163242905597
0                         -43.1667283324622
0                         -45
2.1548078461948466        -45
0                         -41.52379346451035
1.4286097226682513        -42.19385288084083
0                         -40.033644946941386
1.3357508376610499        -40.67758071533695
0                         -38.68207425735699
1.2069777408409308        -39.28463604416992
0                         -37.45619423662717
1.1411286129528548        -38.06670777103391
1.0252783515480148        -36.93162880841069
0                         -36.34431612231059
10.650909517151113        -45
11.579959747401299        -43.0674250299288
1                         -20.275332994410903
1.4188745777844431        -20.027788755923453
0                         -35.3358382281906
0.9255736838075533        -35.80585242696217
0.8221509874784051        -34.89340112601151
0                         -34.42114477605884
3.3418353765300814        -42.894318867558255
4.835457671137793         -45
6.364672738023181         -42.729195681219835
7.795621993263857         -45
9.212200187353385         -42.82192071783274
0                         -33.59151426730831
0.7622787424156133        -33.974869093850984
0                         -32.83903605210175
0.6958177615576047        -33.21395767615039
1                         -20.723596552420464
1.429317319168349         -20.478561407638725
1                         -21.171791968550544
1.4106081174565168        -20.900730374862
1                         -21.602784520848587
1.3718707697750436        -21.378588796722397
0                         -32.156535280270006
0.6191916327299626        -32.483286769204376
0.5269950542797344        -31.877459263922965
0                         -31.537504338713834
0.4461830053606068        -31.26102469498225
0                         -30.97604075782833
1                         -22.003232810153246
1.3604033728167286        -21.8131653888114
1.313107311017888         -22.1815711185517
1                         -22.37422629678371
0.4139824626589264        -30.69806615023241
0                         -30.466791028254658
0.31976298040922596       -30.26556671259599
0                         -30
1.279607929048318         -22.54035512477817
1                         -22.715158896972028
0.47438669782351506       -29.8906407419198
0.0879050379932088        -29.560474810033956
1                         -23.02504165784458
1.2851807274542746        -22.86918477388213
1                         -23.30569096639051
1.251093757842277         -23.144656955959814
0.5709888659287129        -29.433833283361878
0.1758100759864176        -29.120949620067915
1.2148025160870928        -23.42760753766692
1                         -23.55986462427099
0.26370771284268363       -28.681461435786584
0.6457344063162693        -28.97717512398545
1                         -23.790060243965353
1.2099149545197303        -23.67677293466038
0.3488770189432944        -28.25561490528353
0.7014061343664211        -28.54391777540361
1                         -23.99853977218321
1.1831463382053549        -23.883209765201368
0.4275702631371659        -27.86214868431417
0.7523426019964534        -28.11852502627772
1                         -24.18735193827341
1.1640807076555124        -24.094331366204045
0.7747046503195669        -27.74624063651514
0.4989543211223193        -27.505228394388404
1                         -24.358352105085668
1.156720483015438         -24.276374507183277
0.8098840751631733        -27.423392525939544
0.5637080884190863        -27.18145955790457
1                         -24.513220605856255
1.1373099000726858        -24.427574495305954
0.8496126176234249        -27.09469141511556
0.6224473984644093        -26.887763007677954
1.1181379400273268        -24.58123772505661
1                         -24.653479256002598
0.8771580880616583        -26.806636086289434
0.6757308852025913        -26.621345573987046
1                         -24.780506307242636
1.118761758070048         -24.718615679858107
0.9042740566873622        -26.553328465338836
0.724065295965035         -26.379673520174826
1                         -24.89554999765355
1.112166902392097         -24.842618847043642
0.9327902364544978        -26.31967801478795
0.7679103109292258        -26.16044844535387
1                         -25
1.1007080985884887        -24.956553534525142
0.9623534069710414        -26.11256650756858
0.8076829150256569        -25.961585424871714
0.9796952241957644        -25.101523879021176
1.0869900444349645        -25.068280187703852
0.983729500544258         -25.91129876605771
0.8437613641356054        -25.781193179321974
0.9575354022786996        -25.212322988606502
1.0729794549285385        -25.183400857630986
1.0073886181468026        -25.733064413842175
0.8764887694912752        -25.61755615254362
0.9331065692504491        -25.334467153747756
1.0576470540297087        -25.30065885502161
0.9061763925314607        -25.469118037342696
1.0398671941038484        -25.432759982858098
1.0269241163532519        -25.572186840629197
1.9346287817274048        -1.7104184217150173
1.7822562999499656        -2.1026898985080225
1.6482640539495237        -2.4403122231200802
2.3277253489134977        -1.6785702928110955
2.2600712323712173        -2.0774447401188434
1.7413514497558875        -2.8156783773909657
1.996603288599708         -2.49166127644462
2.3658610860905123        -2.465184034242472
2.77318384110241          -1.8817120139781822
2.6377799603548064        -2.282334991533685
3.2037304354197493        -1.7832249629158827
1.8316547230516713        -3.234399698957952
1.8360705164980284        -3.673192235380127
5.386969929885657         -1.1686180887436506
5.764856700583872         -0.6997776908243963
1.826816403823596         -4.148545158106457
3.6047420227938636        -1.94043752648043
4.089311943657584         -1.9087459328534369
2.2726484860912386        -2.928974949677438
2.6532406468894854        -2.63953486605631
3.140156971244925         -2.3553944545596277
2.333660193404315         -3.479723645526775
2.1903761407702462        -3.9111491666345213
5.17612475251762          -1.4461309414031813
4.571968927271427         -1.850150688904477
4.971418406862573         -1.7412521968952728
1.8671747250049497        -4.5864319851977635
1.8480240974348985        -5.020777797711834
1.8318926322075582        -5.50568760623635
1.8616212925236733        -5.940738265742271
1.8332573685769111        -6.364231345877715
1.8240273069245048        -6.8587635088877805
40.348518279112774        -6.05454799134055
38.15970283552081         -4.701650249126908
5.5947557643976555        -1.5030791051912842
5.728495898834772         -1.1129441719220452
6.0980003176246065        -0.9512226698528119
2.326871791970816         -4.353502214300067
3.8006957727957946        -2.3909859657877557
4.348857399903453         -2.3507977975765275
2.938000395512773         -3.094201109635498
3.528251505169398         -2.8560007680196327
2.8067725069260576        -3.9120019769806085
5.359622520241797         -1.8724733280222594
4.963969755680778         -2.2695560822761136
2.354997272823823         -4.826204322344507
2.202017117654221         -5.26683822982682
2.3383318912789015        -5.722704773201268
1.8671865734140116        -7.279161863780513
1.8487081876108857        -7.720347647855821
2.3327803943309817        -6.193253137161516
2.1750855202980026        -6.614332574205217
2.313841912304572         -7.046760699022305
40.124581996613           -8.987997753000286
35.726611282325834        -4.8602068939022
37.426683274660526        -7.369518190916343
5.8051687574687865        -1.8785223769997692
6.166599571042908         -1.4825516776407923
6.602704623157957         -1.0225429523849932
7.178358279824399         -0.984950678374839
2.8809123626459545        -4.611332344441919
4.092854794005547         -2.934539315236881
4.649877835333203         -2.816210576723303
3.6454708714013946        -3.567318291862678
3.3954829857076674        -4.310486643550025
5.638314850972436         -2.3973732302616395
5.2366019981422625        -2.9880323864348184
2.8505090475124235        -5.2894285827561776
2.8957490317955616        -6.021677960586734
1.8374517619161022        -8.211419487243624
2.3658897186833414        -7.54274464218399
2.1799576741007325        -7.9879861958543
2.7819176796952023        -6.626178957541423
2.8698804979509647        -7.357368672865306
40.36436041368766         -38.27915737219843
39.02228700143615         -40.47917763855626
40.11897825376061         -11.99478217342049
37.65116298938645         -10.491915928742188
32.83880992376993         -4.733581088889715
34.31562937662772         -7.148925708665647
35.41851483683533         -9.367511513447697
6.332428937153899         -2.1917618472758353
7.0152872402595445        -1.7104074873932262
7.765074179390678         -1.2848970798225299
3.561953325832875         -4.949010446795064
4.6066573114540255        -3.541662780178069
4.141441925472639         -4.354258972559297
6.132091804127352         -3.183904337885825
5.428699364681834         -3.719489506748915
3.7133520152006856        -5.772806891346128
3.459430154329362         -6.405130195186923
1.868359220930302         -8.637193791332097
1.846501448105902         -9.073708829847781
1.8290657185160468        -9.53956174483132
1.8596701291018627        -9.979825280116877
2.3296756810437858        -8.418474272794342
2.8011988039719506        -8.046879220035336
3.560897697325371         -7.100556626833712
3.398342676288764         -7.77886886770491
40.135022148021456        -35.81894279437891
37.601168860823236        -37.553445013800776
36.07081396616687         -40.265661145502925
40.1342442013546          -15.003546771123418
40.07870130988831         -32.93594881251648
40.14672342107729         -17.985029778660273
40.085375743902695        -29.983529285158934
40.1156593799724          -26.994742723597483
40.136813056864504        -20.987698090322297
40.123965455129834        -23.988962629956152
37.68118018564542         -13.45680169199464
35.02536229415901         -11.846154214768088
8.6046329542072           -1.4852921625402695
9.454968510695622         -1.4021090681898793
29.94165103432285         -4.610148265067649
31.282778623263397        -7.093393443322337
32.75676390384011         -9.78021160702388
32.85244708726512         -11.918254282371542
1.8425673742437478        -10.425315816184696
1.7882955527866438        -10.872707785476283
1.7038118249921324        -11.26787490401622
7.073319809529804         -2.788504339781032
7.988525281717169         -2.217643836472564
6.873044548031012         -3.762895521860957
4.428212056989754         -5.38796669289277
5.05969271685361          -4.5278842929924945
6.108452992831917         -4.35596373625337
4.34523434762999          -6.504430539626618
2.357243652934682         -8.880987456479186
2.2181127950505863        -9.312304638432584
2.3216358095980416        -9.751285093235436
2.3219002560254816        -10.217635612741306
2.8848698318388406        -8.71014722132632
3.56311944494313          -8.446666583232215
4.304307230023686         -7.782141537497499
37.61244714066503         -34.408279702193134
35.47946661635856         -35.659881305300004
33.09466748051873         -40.27409447034285
34.52107131319            -37.96854436911475
37.747137888288336        -16.4387166591628
37.538000912630665        -31.504922990813977
37.72516545260934         -19.479824765324782
37.66414707084083         -28.50070694705792
37.67568148484695         -25.484713922566453
37.69305443986513         -22.479790045763696
35.39131808976373         -14.974518175201268
32.91802822718622         -13.90569361165587
10.226592835717202        -1.8216616345433136
9.24416200097258          -2.4442135964105103
11.31167339519724         -2.0542349304544296
12.473916375822256        -1.8971482730609877
27.16578863697876         -4.386544072047867
28.34699068550263         -6.848802401817394
29.496746105187185        -9.438488084616187
30.53272545343237         -12.032965680153042
1.7582021202950484        -12.12802163663662
2.289922694499542         -10.68008861067311
1.8833047820473756        -11.667032371712843
2.176405973841393         -11.17226832215223
8.085161612544844         -3.6578205593379858
7.225804821133829         -4.927436510176526
5.749013305565542         -5.845754356416973
5.152448079398702         -7.275438594058212
2.7392612974233175        -10.469001729639599
2.830884973317215         -9.338877562044472
2.878193877509581         -10.000492307833607
3.6301851944123804        -9.093618631702677
4.426208847077039         -8.682409117771748
5.318138856751438         -8.140027446154239
34.81592406872602         -32.9988380280482
30.133666378867463        -40.274284085833
32.99989702390661         -35.462682111194646
31.571081445338102        -37.87140723742103
35.337147783203015        -17.99533250434646
35.172197910619865        -29.924135475831104
35.291046710429875        -20.990459620728785
35.20876336557905         -26.959708097175167
35.249921104343336        -23.984885613455987
32.96816343114626         -16.579323212533332
30.716326400638657        -15.085493743467412
10.467547798473163        -3.164331608728444
9.394842820744177         -3.8417905714834637
24.58977136782299         -4.062342365195619
22.64205744956677         -3.4710094745005633
13.61474913518713         -2.4792637039294463
12.107581027303922        -3.4066913537414534
15.077893104649611        -2.812782320329999
16.743803676690426        -2.541201375664224
18.278318514862573        -3.364754299377015
20.52287982448672         -4.032854475324982
25.563649808917535        -6.452697580570535
26.631306266100406        -9.111486387897626
27.429911698984185        -11.764068987482837
28.574336020121827        -13.985371020131202
1.7661685145404065        -13.035807987310298
1.8880357409673263        -12.56414420586385
2.223404007491675         -12.088371190400254
2.8550044847477496        -10.973650379518528
2.537700402750906         -11.573297579871504
8.598379702382871         -5.082759413018406
7.406478125298089         -6.367720624903416
6.26490222249041          -7.381438795515061
3.35058066456267          -10.474570107415772
3.6138617039443153        -9.764807862081772
4.436025750918702         -9.53120134311133
5.441115611936464         -9.117829828888361
6.142498774374084         -8.512409991308601
27.210241900232806        -40.33055601311704
32.91768888430639         -30.884007569458507
31.615072789687808        -33.04613478941689
28.546801071810048        -37.876226722187965
30.109285231125668        -35.48131746274791
24.48985044913375         -40.54982085585386
32.90012077360085         -19.509001289152707
32.70095359128451         -28.36311038594068
32.841198462221556        -22.493199460328974
32.79038499392565         -25.500244687208525
30.546050253588433        -18.0058747340471
28.243188288266197        -16.541195417397155
10.53312900537717         -4.911283821286241
22.675033097091035        -5.83471137901861
13.990463878784926        -4.213359065380724
12.35170024316595         -5.3252705780660445
16.309743811245944        -4.751538524602481
18.60823911092224         -5.528841970078711
20.403923705419153        -6.31840401575845
23.973424764966232        -8.452502710230782
24.805307800382288        -11.483480329545532
25.949528259287735        -14.503131272155581
1.7684545090085082        -13.94130849622955
1.9014797719952483        -13.49188717791655
1.7507863225536515        -14.840926877193962
1.8889630529373898        -14.38427482785313
2.246357132579544         -13.003187635952926
2.4109604626598857        -12.487679159628392
2.862220536229509         -12.11005218868832
3.6600769681626057        -11.143784988625427
3.144236624310903         -11.529471054896884
9.091832544102962         -6.709236767480818
7.5089361561129175        -8.259697906812718
4.356501262062509         -10.49617789875472
5.503192581370166         -10.084592512481263
6.62518642922492          -9.515306055687658
1.7583700144060908        -15.733067672125063
1.8840992578951619        -15.279493130248369
25.515859756262014        -37.90335481067467
30.163417627965142        -30.219813918150138
28.706441194090175        -33.07608096528168
27.23426214267257         -35.56108255041799
21.800618605669875        -40.78443970630374
23.08669334054992         -38.837008867797024
30.425628228390067        -20.967078227904175
30.348638465928772        -27.052706911863805
30.397704492972526        -23.993238446548062
25.832257414231325        -17.762960567686346
28.022874399488547        -19.353156513827823
11.046923234138957        -7.357875650262843
21.468061906373705        -8.14967782403797
13.972300717051962        -6.87740971106036
16.70987903859215         -7.429714533122781
18.971171940479003        -7.897676761679261
22.20559325745572         -10.71292666519559
23.044945589236747        -13.528701488686615
23.75348896989648         -16.165983027502094
23.924436799863635        -18.38474812403147
2.2296208979911305        -13.931243788787405
2.4469462550958614        -13.493404013514992
2.2367730776244015        -14.812228981116787
2.442954462272198         -14.370041422617026
4.43958434507188          -11.395015445060123
3.0645520502185324        -12.946203271483471
3.7617937966539072        -12.038471820824439
9.216163621086462         -8.524033959936403
7.757070234202514         -9.752793163508375
5.4446995742420565        -11.11537680906815
6.6245821308415325        -10.614687736810614
1.7526116585626519        -16.631099626211068
1.8865230391709562        -16.171830403343304
2.2213293265058884        -15.703647400426464
2.433577481269828         -15.25147286665554
1.7558913787623265        -17.52721307567861
1.8863737499533728        -17.070377276265788
23.12924278007169         -36.69173188370012
24.914108925764502        -35.47714723096665
27.88060452455501         -28.09020168242953
26.9880960794161          -30.784703019203132
25.74821119987294         -33.31103453422821
19.442058392595037        -40.60539542572949
20.91306911904608         -38.188190614390976
21.304491617774694        -35.74922672201656
27.948922787314956        -22.359592908142027
27.98749732535477         -25.34309446681972
25.232881675618497        -20.50233443993851
26.07180132306737         -26.598230804632994
10.573794960777198        -9.350434224336881
12.446604941950026        -9.332013106488686
19.74095111053855         -10.323129691049353
14.952209118242415        -9.621947838294744
17.339360973071166        -9.962345592044676
22.8749029631228          -19.779973603621833
20.453098803659724        -12.850433277363514
21.149954743343223        -15.479244760244953
21.871041522109522        -17.898908878208253
2.952087505636214         -13.925429428351539
2.9064921402209345        -14.798359151190432
3.749449483313631         -13.63967392104102
4.974850124238322         -12.18126570802787
4.1862863205881515        -12.964144409352519
9.173139567882131         -10.3928546567498
7.764402701671392         -11.08355736373227
6.653765846828253         -12.136371222845755
2.22875986978829          -16.603353533897042
2.441890313294377         -16.139625123073717
2.917197687027726         -15.666585358899175
1.7600024596730182        -18.422745942089374
1.8843831670862734        -17.969245412078575
2.225262744921921         -17.500375111005116
2.447328442298839         -17.040393337382625
23.041233921032937        -33.99546305635488
25.259980947175066        -28.733057685751916
24.171101709090422        -31.27622684497862
17.108475370135825        -40.82828270489306
18.293444465963137        -38.51710054016672
19.335116947099436        -36.13252160434117
20.41450057596158         -33.88590834956434
25.27731235829002         -23.96459604730191
22.784344913286457        -21.90423414858648
23.700445931060536        -26.514262177664158
10.986964457476766        -11.145140395430532
13.202861499412599        -11.552145955040515
18.00862498736964         -12.380974547230709
15.590861089666168        -11.96964202245569
20.6110523313043          -20.194041758388785
18.699948077838265        -14.961074057102254
19.411377533315413        -17.58406674677757
3.7953284600148685        -14.355908688733233
3.5605165689207445        -15.217771385848245
4.645412818461368         -13.96614887052959
5.587598905696936         -13.292245833217022
8.74126601456855          -12.501039540014137
7.500814508901293         -13.72367889688233
1.7590401379317335        -19.325668348471712
1.8899886582150347        -18.862624054427094
2.958098664895855         -16.566706003212936
3.841625588005462         -16.06792617696594
2.2184705159272546        -18.39368849002909
2.4410957960158717        -17.934063273349896
2.9381471819347555        -17.461154762532246
1.9076313458492358        -19.776868165364167
21.587038076426765        -31.488092719116374
22.618419962612492        -29.006118593150923
14.814721008509954        -41.085048776898766
12.898107599580431        -41.49155236521352
15.875225540329108        -38.87204365698556
17.08448993093855         -36.48884458159322
18.25229166338003         -34.10524093941622
19.37081631313017         -31.7508599608963
22.09061233173288         -24.402106807638695
20.729347373736786        -22.618472741690134
21.15150846723604         -26.753267936611337
18.77862179132594         -22.057738766642856
11.335630348676355        -13.281144722583944
13.796624933248063        -13.911871597307199
16.225547349663007        -14.424660814923355
17.827730510231564        -19.514897632263068
16.951085049678596        -17.047064196073418
4.695906024472629         -15.19141192007488
5.952524762209008         -14.67844324301734
9.26390529082605          -14.812480162952397
7.416868746934511         -15.193239926414078
2.2385463819571036        -19.297940797324387
2.4448581557319127        -18.831025513140997
3.8926168896855153        -16.991327893300003
4.761520076749337         -16.532499742292053
2.9392153702091557        -18.34585259110445
3.837847430021702         -17.883532260184648
1.7879962439425179        -36.17157360225873
2.603843196301451         -41.16645619639323
2.55943082269389          -39.646130386436475
2.2073993683120903        -38.573720194170335
2.4245395429485823        -37.29272067586144
11.029812889072707        -40.7119659794472
1.4688541362865883        -34.299447047140966
1.797038643599827         -20.244767964203106
2.4732410049864013        -19.73768830584462
2.267123564465651         -20.224189853942743
19.840444644686094        -29.271804194783122
17.949208499683962        -30.381300429961755
13.148566545849672        -39.16290818898578
14.765881604870772        -36.82393206853062
15.984979363988808        -34.482228680119
17.100498920123496        -32.22758961547889
19.382105501034356        -24.53424222719385
18.883568329582925        -26.89419465486269
17.36584363835457         -23.356410510454904
16.535258794624163        -21.24746742171261
11.99900851832059         -15.747313028059533
14.425724773145447        -16.49623862401477
15.114075998671884        -19.29384384335435
10.447458438607441        -17.233160570110634
6.216350042506373         -16.150083213982708
8.127421632523246         -16.584695979156805
2.968892701126591         -19.26300192805723
4.7965833577846055        -17.557481396770683
5.640789044142595         -17.256519435870487
3.820576991181085         -18.797743659681796
4.562369641306492         -18.37395141615678
1.918016519876382         -35.15835667459089
2.9502677202233594        -35.935474726438024
4.773594566339182         -40.43909488539789
3.707121569006416         -38.551229827037105
4.15258493465482          -36.81870980168125
8.217672812845018         -39.90085156313983
10.848986815387102        -38.262927567500654
2.366114457114079         -34.08442602216301
1.5841529276230246        -33.4121338276628
1.219745608809347         -32.73091258022771
1.9622464107314552        -20.716431638146435
1.720559827282476         -21.173483885893532
2.995971506685068         -20.135752143734987
2.550792030244538         -20.671817754780072
17.353576801229018        -28.300222354042937
16.079934096038404        -30.24669421842756
12.466798227215214        -36.67979579953187
13.792243582473859        -34.57873405382861
14.944022177512643        -32.36623396163956
16.682423799580732        -25.664584000763583
15.447206669474165        -23.356462191237867
14.770577731707313        -21.472841543178117
12.468006789290524        -18.552678264370755
13.334474675815974        -20.636114570532207
10.394684625347777        -19.036731466529545
8.662438295790079         -18.451188505242076
6.948857667143438         -17.625764010963472
3.872193427525718         -19.69639717588137
5.632002344632417         -18.402573915961575
4.743335698628573         -19.223957701758295
3.206984555942069         -34.77534052065807
4.244483311292198         -35.427634595168456
6.186869861426752         -37.68738197854737
5.4176444610724745        -35.99723631395768
8.74745575981554          -37.016715736509205
10.66581113380958         -36.25630670876809
1.783675686435393         -21.644226876711553
0.9107984463319665        -31.45173676062218
1.2592572452620556        -32.00986247439223
3.46745707688514          -33.55289917902883
2.635662789025292         -33.031649007957654
1.9403084768740873        -32.53532215372874
0.899264985367504         -30.915489006501808
3.835909238183703         -20.53369163257477
2.38221907937101          -21.342719015193037
3.115851245550282         -20.9624944004301
15.203439784792108        -27.986669218687897
13.926918379009756        -30.216399160023723
11.719621655404632        -34.55577282803995
12.776890996561713        -32.44333822248914
14.280094115819939        -25.536023037304414
13.049041936758288        -22.861446634013582
11.270670922651838        -20.999762567744224
8.913240573321945         -20.15427478021002
7.178641241855197         -19.261663989440972
4.720733001401281         -20.222079626061475
5.8521387857244465        -19.85100041680677
4.423365182751419         -21.028080069064746
4.464948922374797         -34.12957038292048
5.441341782610076         -34.807225757145574
7.085131842148484         -35.220242025253356
9.480262093276291         -34.772584575845904
4.414122083801328         -32.94466717899168
1.6965277304013133        -22.070761611739393
1.5346745676198004        -22.394654176795264
2.1517435255464545        -21.952820906354347
2.622656647948052         -21.95819361137626
1.5446821229612226        -31.165533070511295
2.0188379148342337        -31.747630768928058
3.683965912281726         -32.31742210441004
2.765196095245395         -31.98462471235011
1.2729955083799953        -30.553227650591843
0.8186838048162213        -30.303484701231422
3.779988443126095         -21.428702957609552
3.150227175691279         -21.662282898688183
2.9802487325132523        -22.195070637143942
12.897691517074795        -27.956092541565198
11.658860692628899        -30.298764539704955
10.558827508288704        -32.6019103462171
8.891658402423767         -22.086108322852272
11.862450917661157        -25.63586291768307
10.437729814809872        -23.698566955476917
7.063169784518859         -21.085182307461945
5.4107617216388535        -21.095475111288966
4.6056298377490075        -21.868391933100465
5.994500376162419         -33.26144546842791
8.233511541364413         -32.95679228130288
4.945019026604393         -31.822835082717383
1.5912231462861528        -22.736133168366436
1.9844765881646746        -22.47755649984406
2.524349468647656         -22.393572636632065
1.8459502701577937        -30.44700019750313
2.5368540541673115        -30.94977553901135
3.7104831570746604        -31.22960956597615
1.3618500205742046        -30.08933415517347
0.9610538825241166        -29.76300058604713
1.8042428835302526        -29.914250106882484
3.697950558615307         -22.241279899628907
3.0801508905489494        -22.746081204015976
10.45244519865745         -28.061085805256564
9.33776322193152          -30.511419123277577
7.292175293194962         -22.696823889555937
8.342237800976012         -23.809382721110183
9.04734494537901          -25.865614462068145
5.796987850130797         -22.519316338723392
4.5247252702315786        -22.897497222287218
6.879109628012022         -30.89959456214703
4.848109795111942         -30.28080631387071
1.5469857239235019        -23.084043750644575
1.4212862899851229        -23.31776738864263
1.9069650226043098        -22.995484189983415
2.463652550263335         -22.97361630666591
2.3955724080005067        -30.02253088522799
3.443479177726488         -30.012433148262183
1.4750411842870035        -29.57734904515813
1.0654808879485569        -29.28385337448087
